Sample,Salinity,pH,Conductance,DO,T,Phosphas,N02,NH4,SiO3,NO3
Sample39,33.3,8.04,55011,4.95,29.2,0.0076,9.00E-04,0.0135,0.053407,0.018
Sample40,33.3,8.04,55011,4.95,29.2,0.0076,9.00E-04,0.0135,0.053407,0.018
Sample41,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample42,33.25,8.02,55330,4.18,29.6,0.0103,0.0021,0.0638,0.054261,0.041
Sample43,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample44,33.33,8.02,55162,4.86,29.3,0.0061,0.0018,0.0166,0.053528,0.029
Sample45,33.37,8.02,55196,5.04,29.3,0.0102,0.0023,0.0644,0.052721,0.035
Sample46,33.37,8.02,55196,5.04,29.3,0.0102,0.0023,0.0644,0.052721,0.035
Sample47,33.41,8.03,55240,4.91,29.3,0.003,0.0012,0.0101,0.049829,0.02
Sample48,33.41,8.03,55240,4.91,29.3,0.003,0.0012,0.0101,0.049829,0.02
Sample49,33.38,8.02,55771,4.27,29.8,5.00E-04,0.0015,0,0.046581,0.015
Sample50,33.38,8.02,55771,4.27,29.8,5.00E-04,0.0015,0,0.046581,0.015
Sample51,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample52,33.47,7.98,56099,4.42,30,0.0079,0.0018,0.0176,0.054832,0.029
Sample53,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample54,33.41,8.02,56571,4.35,30.6,0.0012,0.0012,0.0053,0.036725,0.018
Sample55,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample56,33.51,8.01,55538,5.21,29.4,0.0121,0.004,0.1451,0.048247,0.048
Sample57,33.38,8,56827,4.49,30.8,0.0217,0.0052,0.006,0.004161,14.511
Sample58,33.38,8,56827,4.49,30.8,0.0217,0.0052,0.006,0.004161,14.511
Sample59,33.58,8.06,55961,6.61,29.17,0.0056,0.0026,0.0239,0.037467,0.018
Sample60,33.58,8.06,55961,6.61,29.17,0.0056,0.0026,0.0239,0.037467,0.018
Sample61,33.47,8.07,56638,3.65,30.5,9.00E-04,0.0014,0.0016,0.052301,0.022
Sample62,33.47,8.07,56638,3.65,30.5,9.00E-04,0.0014,0.0016,0.052301,0.022
Sample63,33.28,8.1,56258,3.56,30.5,0.0011,0.0021,0.0162,0.040541,0.026
Sample64,33.28,8.1,56258,3.56,30.5,0.0011,0.0021,0.0162,0.040541,0.026
Sample65,33.18,8.13,55810,4.9,30,0.0166,0.0075,0.0169,0.063168,0.018
Sample66,33.18,8.13,55810,4.9,30,0.0166,0.0075,0.0169,0.063168,0.018
Sample67,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample68,33.29,8.02,57560,4.5,31.7,0.0057,0.0014,0.0494,0.039813,0.024
Sample69,33.37,8.05,54595,4.45,28.7,0.0021,0.0012,0.0205,0.031072,0.023
Sample70,33.37,8.05,54595,4.45,28.7,0.0021,0.0012,0.0205,0.031072,0.023
Sample71,33.38,8,55865,4.03,29.9,0,6.00E-04,0.0027,0.027216,0.011
Sample72,33.38,8,55865,4.03,29.9,0,6.00E-04,0.0027,0.027216,0.011
Sample73,33.33,8.03,54799,3.65,29,0,5.00E-04,0,0.034756,0.013
Sample74,33.33,8.03,54799,3.65,29,0,5.00E-04,0,0.034756,0.013
Sample75,33.47,8.07,54502,3.9,28.4,0.0124,5.00E-04,0,0.053791,0.016
Sample76,33.47,8.07,54502,3.9,28.4,0.0124,5.00E-04,0,0.053791,0.016
Sample77,33.38,8.01,54926,4.02,29,0.019,0,0,0.062482,0.018
Sample78,33.38,8.01,54926,4.02,29,0.019,0,0,0.062482,0.018
Sample79,33.34,8.05,54123,3.68,28.3,0.016,7.00E-04,0.0017,0.050529,0.017
Sample80,33.34,8.05,54123,3.68,28.3,0.016,7.00E-04,0.0017,0.050529,0.017
Sample81,32.98,8.04,54302,3.27,29,6.00E-04,4.00E-04,0,0.050305,0.012
Sample82,32.98,8.04,54302,3.27,29,6.00E-04,4.00E-04,0,0.050305,0.012
Sample83,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample84,32.4,8.01,52275,3.87,27.8,0.0085,0.0024,0.0306,0.058131,0.043
Sample85,33.32,7.96,55313,4.6,29.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample86,33.33,7.96,55313,4.7,30.4,0.0193,0.0018,0.0333,0.066646,0.025
Sample87,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample88,29.1,7.99,54176,4.26,29.1,0.0289,0.0027,0.1514,0.05339,0.052
Sample89,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample90,33.29,8.01,52790,4.01,27,0.0164,0.001,0.0016,0.059461,0.017
Sample91,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample92,33.24,8,54036,4.01,28.3,0.0035,0.0022,0.0613,0.039015,0.04
Sample93,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample94,33.33,8.05,54795,3.08,28.9,0.0086,0.0027,0.0535,0.051355,0.036
Sample95,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample96,33.26,8.03,55674,4.48,29.8,0.0095,7.00E-04,0.0342,0.051593,0.017
Sample97,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
Sample98,33.32,8.04,55081,4.85,29.2,0.0078,0.0033,0.0947,0.051758,0.06
Sample99,33.4,8.05,54731,4.36,28.8,0.002,0.0018,0.0231,0.03439,0.013
Sample100,33.4,8.05,54731,4.36,28.8,0.002,0.0018,0.0231,0.03439,0.013
Sample101,33.32,7.98,55998,4.76,30.1,4.00E-04,9.00E-04,0.0136,0.05159,0.021
Sample102,33.32,7.98,55998,4.76,30.1,4.00E-04,9.00E-04,0.0136,0.05159,0.021
Sample103,33.52,7.99,56346,3.86,30.2,0.0049,0.0024,0.0072,0.053446,0.016
Sample104,33.52,7.99,56346,3.86,30.2,0.0049,0.0024,0.0072,0.053446,0.016
Sample105,33.56,8.04,55432,4.05,29.3,0.0153,0.0012,0,0.053074,0.017
Sample106,33.56,8.04,55432,4.05,29.3,0.0153,0.0012,0,0.053074,0.017
Sample107,33.39,7.92,55039,3.07,29.1,0.0083,0.0029,0.0381,0.045506,0.03
Sample108,33.39,7.92,55039,3.07,29.1,0.0083,0.0029,0.0381,0.045506,0.03
Sample109,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample110,33.4,7.99,56855,3.27,30.9,0.0045,0.001,0,0.054765,0.015
Sample111,33.87,8,57082,4.14,30.4,0.0152,0.003,0.0789,0.060225,0.048
Sample112,33.87,8,57082,4.14,30.4,0.0152,0.003,0.0789,0.060225,0.048
Sample113,33,7.97,54408,3.1,29.1,0.0132,0.0019,0.0042,0.059489,0.024
Sample114,33,7.97,54408,3.1,29.1,0.0132,0.0019,0.0042,0.059489,0.024
